CoreComposition_cerium(iv) oxide,CoreComposition_copper(i) oxide,CoreComposition_copper(ii) oxide,CoreComposition_no material,CoreComposition_silver,CoreComposition_silver nitrate,CoreComposition_titanium dioxide,CoreComposition_zinc oxide,CoatingComposition_aluminum hydroxide,CoatingComposition_citrate,CoatingComposition_missing,CoatingComposition_polyvinylpyrrolidone,Shape_amorphous,Shape_missing,Shape_spherical,SurfaceChargeType_missing,SurfaceChargeType_zeta potential,cell type parameter_nonnum_arpe-19,cell type parameter_nonnum_e6-1,cell type parameter_nonnum_hepg2,cell type parameter_nonnum_iec-6,cell type parameter_nonnum_missing,cell type parameter_nonnum_smi-100,subject parameter_nonnum_beas-2b,subject parameter_nonnum_missing,light parameter_nonnum_dark,light parameter_nonnum_missing,light parameter_nonnum_ultraviolet,OuterDiameterValue,OuterDiameterLow,OuterDiameterHigh,SurfaceAreaValue,Purity,HydrodynamicDiameterValue,ChargeAvg,particle concentration parameter_value,duration incubation parameter_value,duration exposure parameter_value,duration aging parameter_value,duration irradiation parameter_value,temperature parameter_value,irradiance parameter_value,irradiation power parameter_value,number of cells parameter_value,concentration carbon dioxide parameter_value,concentration zinc parameter_value,concentration copper parameter_value,fetal bovine serum additive_value,phosphate buffer additive_value,sodium chloride additive_value,glucose additive_value,gentamicin additive_value,penicillin additive_value,l-glutamine additive_value,penicillin / streptomycin additive_value,sodium pyruvate additive_value,amphotericin b additive_value,streptomycin additive_value,sodium bicarbonate additive_value,potassium bisulfate additive_value,side scatter result_value,forward scatter result_value,mitosox fluorescence result_value,viability result_value
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,61.48570682374904,306.5059532558074,49.8,97.7,66.19,14.2,3.0,4.0070013919124525,45.137453488761636,8.720900666738402,2.0,37.00392355535836,7.5,3.7,500000.000784779,5.020372722855112,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.641213898647798,1.23,2.314166749661513,98.33
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,43.110335881359546,253.2849640513186,49.8,97.7,66.19,14.2,10.0,4.010650823826738,17.341141393085614,1.644496357802797,2.0,37.00908640376947,7.5,3.7,500000.0105524117,5.000088076160185,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.694583665390516,1.23,2.48731801192336,93.12
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,13.02652350014068,13.0,49.8,97.7,66.19,14.2,30.0,4.000025473905824,39.87500540406128,2.160224254987302,2.0,37.011417404675726,7.5,3.7,500000.00351698004,5.009623046147245,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2511828373470966,0.82,1.8911252783928083,59.22
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,34.383925948900405,404.57053234487955,49.8,97.7,66.19,14.2,100.0,4.011630600289427,4.4315300322330415,3.8249437812240163,2.0,37.00765908050664,7.5,3.7,500000.00662246713,5.005829183372309,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5218159588790314,0.82,2.855930890965216,0.18
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,20.853624146761643,72.35866761265737,11.8,98.8,66.19,14.578412278598101,0.0,4.012560856777606,52.91616906912176,4.745135840649569,0.9724631744731617,37.00654281138111,7.965661422645718,0.32134904071526016,500000.00224163017,5.002783646467222,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.708528806235351,1.160406720056136,3.0123172078876914,99.93
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,45.50228436696949,394.8356168881195,11.8,98.8,66.19,15.162640999555023,0.3,4.001204879986836,39.12895923454668,4.835555073123753,0.8100162419652092,37.0024053364862,7.548466602128025,0.3191545712006889,500000.00675609795,5.005016433011562,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2182701491738177,1.1880720796312587,1.1599220169270381,99.79
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,20.799076282898987,244.08057614223165,11.8,98.8,66.19,14.492956034406399,1.0,4.020028059543327,18.354535026562672,0.9990680109285672,1.531766772279135,37.01514302063334,7.905743018954431,3.7,500000.00502106425,5.009519976007519,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.836539458053152,0.9858974551850253,1.4779484573834114,99.77
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,65.24269118390467,283.72228901637095,11.8,98.8,66.19,15.217929280844341,3.0,4.009399109585432,20.51998921179952,0.6204952784168243,0.9654449626685934,37.002881730643615,7.581866814513822,2.2874253644087172,500000.0025668414,5.019758203510508,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.367474345608003,1.224007889336713,3.1741171286238004,99.67
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,30.13864221106966,322.186729457067,11.8,98.8,66.19,14.808726441076027,10.0,4.002577889575556,37.79953624868399,3.8748627801012927,0.4838440776435597,37.00387887455151,7.792422841625554,2.561195388491436,500000.0052444604,5.000296618511331,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.629373075352655,1.1579303733012107,1.1313769468217125,99.94
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,31.8238283550888,115.25535566822906,11.8,98.8,66.19,14.783015506750665,30.0,4.010962575940757,31.57311732723254,0.5184037333583436,0.26468387282058914,37.01341690575563,8.151262920483205,1.234945869029667,500000.0051715644,5.002125427381183,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.7111752446064306,0.82,2.7817657307815056,99.53
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,9.74928342345108,13.0,11.8,98.8,66.19,14.806377793825614,100.0,4.006901239218199,58.458764765972695,9.164626585036252,0.6272348325248818,37.00632721332261,8.040919314282323,0.911843093548068,500000.00041949,5.005072635131101,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9949606532121051,0.82,1.4702034930903392,73.14
